origin_destination_airport,ratio_distance_inefficiency,ratio_ccd_fuel_inefficiency
KLAX-KOAK,1.0512,1.2099
KLAX-KOKC,1.0411,1.1112
KLAX-KOMA,1.0313,1.0279
KLAX-KORD,1.0502,1.0153
KLAX-KPDX,1.0552,1.1667
KLAX-KPHL,1.0353,0.9877
KLAX-KPHX,1.0976,1.0788
KLAX-KPIT,1.0324,1.0159
KLAX-KPVU,1.0601,1.1085
KLAX-KRDU,1.0425,1.0213
KLAX-KRNO,1.0576,1.1077
KLAX-KSAN,1.278,1.4654
KLAX-KSAT,1.0248,1.0063
KLAX-KSDF,1.0324,1.0161
KLAX-KSEA,1.0745,1.2064
KLAX-KSFO,1.0699,1.2047
KLAX-KSGF,1.0284,1.0743
KLAX-KSJC,1.0613,1.1683
KLAX-KSLC,1.0873,1.1005
KLAX-KSMF,1.0682,1.1889
KLAX-KSTL,1.0311,0.982
KLAX-KSWF,1.0347,0.9389
KLAX-KTPA,1.0322,1.0316
KLAX-KTUL,1.032,1.0788
KLAX-KTUS,1.0683,1.0204
KLAX-LEBL,1.0353,1.0789
KLAX-LEMD,1.0341,1.0397
KLAX-LFPG,1.0398,1.0661
KLAX-LIMC,1.0459,1.0207
KLAX-LIRF,1.04,1.1176
KLAX-LLBG,1.0355,1.0547
KLAX-LOWW,1.0366,1.1826
KLAX-LSZH,1.0465,0.9916
KLAX-LTBA,1.0432,1.0425
KLAX-LTFM,1.0391,1.0598
KLAX-MGGT,1.0115,0.9951
KLAX-MMAS,1.0164,1.0996
KLAX-MMDO,1.0142,1.0886
KLAX-MMGL,1.0288,1.0818
KLAX-MMLO,1.0186,1.0902
KLAX-MMLT,1.0212,1.0661
KLAX-MMMM,1.0182,1.0783
KLAX-MMMX,1.0244,1.0734
KLAX-MMMY,1.0333,1.0829
KLAX-MMMZ,1.0126,1.0868
KLAX-MMOX,1.0169,1.0845
KLAX-MMPR,1.014,1.0856
KLAX-MMSD,1.0393,1.0926
KLAX-MMUN,1.0293,1.0763
KLAX-MMZC,1.0144,1.1007
KLAX-MMZH,1.0158,1.0848
KLAX-MMZO,1.0129,1.0766
KLAX-MPTO,1.0181,1.0431
KLAX-MRLB,1.0125,1.0826
KLAX-MROC,1.0148,0.9802
KLAX-MSLP,1.0115,1.0121
KLAX-MZBZ,1.0351,1.0225
KLAX-NFFN,1.0051,1.123
KLAX-NTAA,1.0072,1.1115
KLAX-NZAA,1.0059,1.1379
KLAX-OEJN,1.0564,1.0189
KLAX-OMAA,1.0348,1.0284
KLAX-PANC,1.0248,1.0943
KLAX-PHKO,1.0174,1.1201
KLAX-PHLI,1.0232,1.0941
KLAX-PHNL,1.0216,1.1408
KLAX-PHOG,1.0212,1.0996
KLAX-PHTO,1.0146,1.1649
KLAX-RCTP,1.019,1.1636
KLAX-RJAA,1.0217,1.2124
KLAX-RJBB,1.031,1.2722
KLAX-RJTT,1.0292,1.2347
KLAX-RKSI,1.0402,1.2336
KLAX-RPLL,1.018,1.1379
KLAX-SAEZ,1.0312,1.0935
KLAX-SBGR,1.0351,1.1111
KLAX-SCEL,1.014,1.0416
KLAX-SKBO,1.0134,1.0194
KLAX-SPJC,1.0089,1.0189
KLAX-UUEE,1.0374,1.0811
KLAX-VHHH,1.0313,1.1336
KLAX-YBBN,1.0084,1.0981
KLAX-YMML,1.0097,1.0653
KLAX-YSSY,1.0146,1.1127
KLAX-ZBAA,1.0195,1.1653
KLAX-ZGGG,1.0381,1.153
KLAX-ZGHA,1.0246,1.1676
KLAX-ZGSZ,1.0438,1.1764
KLAX-ZLXY,1.0154,1.1449
KLAX-ZSAM,1.0348,1.1742
KLAX-ZSHC,1.0324,1.1762
KLAX-ZSNJ,1.0491,1.191
KLAX-ZSPD,1.034,1.1888
KLAX-ZSQD,1.0227,1.1814
KLAX-ZUCK,1.0173,1.1355
KLAX-ZUUU,1.0121,1.1369
KLAX-ZYTX,1.0199,1.1665
KLBB-KABI,1.0223,1.1068
KLBB-KAFW,1.0339,1.1419
KLBB-KAUS,1.0466,0.9727
KLBB-KDAL,1.1441,1.1078
KLBB-KDEN,1.0646,1.0251
KLBB-KDFW,1.1482,1.1374
KLBB-KELP,1.0526,1.0913
KLBB-KIAH,1.1223,1.2046
KLBB-KLAS,1.0186,1.0345
KLBB-KMEM,1.0482,0.9223
KLBB-KPHX,1.1046,1.1729
KLBB-KROW,1.0135,1.1659
KLBE-KFLL,1.0588,1.1767
KLBE-KMCO,1.0342,1.1066
KLBE-KMYR,1.0759,1.1114
KLBE-KRSW,1.0472,1.1586
KLBE-KTPA,1.029,1.1649
KLBF-KOMA,1.0213,1.1055
KLCH-KDFW,1.107,1.5411
KLCH-KIAH,1.1362,1.2746
KLCK-KEWR,1.1095,1.056
KLCK-KFLL,1.053,1.1603
KLCK-KIND,1.1653,1.3364
KLCK-KMEM,1.0497,1.1829
KLCK-KMYR,1.0257,1.0596
KLCK-KORD,1.1158,1.3362
KLCK-KPGD,1.022,1.119
KLCK-KPIE,1.0422,1.1547
KLCK-KPKB,1.0406,1.1272
KLCK-KSAV,1.0204,1.0463
KLCK-KSDF,1.1177,1.2941
KLCK-KSFB,1.0221,1.0838
KLCK-KSRQ,1.043,1.1463
KLCK-KSUS,1.0382,1.1239
KLEB-KBOS,1.1834,0.8239
KLEB-KHPN,1.0633,0.7752
KLEW-KMHT,1.0523,0.9138
KLEX-KATL,1.3687,1.4394
KLEX-KCLT,1.1987,1.2985
KLEX-KDCA,1.0533,1.1281
KLEX-KDFW,1.057,1.3592
KLEX-KDTW,1.1238,1.3463
KLEX-KFLL,1.0629,1.1457
KLEX-KIAH,1.0638,1.3119
KLEX-KORD,1.1225,1.293
KLEX-KPGD,1.0193,1.0752
KLEX-KPHL,1.1253,1.1092
KLEX-KPIE,1.0419,1.1265
KLEX-KSFB,1.0308,1.0545
KLFT-KDFW,1.1256,1.597
KLFT-KIAH,1.1934,1.4314
KLFT-KMEM,1.0639,1.0992
KLFT-KSDF,1.046,1.0154
KLGA-CYUL,1.0939,1.5087
KLGA-CYYZ,1.0926,1.391
KLGA-KACK,1.1097,1.2819
KLGA-KATL,1.0412,1.2006
KLGA-KBGR,1.0691,1.4749
KLGA-KBNA,1.0325,1.1732
KLGA-KBOS,1.1766,1.3528
KLGA-KBUF,1.0699,1.3973
KLGA-KCAE,1.0469,1.5135
KLGA-KCHO,1.0636,1.6268
KLGA-KCHS,1.024,1.3287
KLGA-KCLE,1.0528,1.4574
KLGA-KCLT,1.0682,1.2292
KLGA-KCMH,1.05,1.4326
KLGA-KCVG,1.0883,1.4081
KLGA-KDAL,1.027,1.1904
KLGA-KDCA,1.1489,1.4562
KLGA-KDEN,1.0348,1.2544
KLGA-KDFW,1.0371,1.2007
KLGA-KDTW,1.0818,1.2891
KLGA-KFLL,1.055,1.1951
KLGA-KGRR,1.0352,1.3344
KLGA-KGSO,1.0552,1.6469
KLGA-KHOU,1.0351,1.1837
KLGA-KIAH,1.0427,1.2655
KLGA-KILM,1.0352,1.5892
KLGA-KIND,1.0435,1.4455
KLGA-KMCI,1.0278,1.2096
KLGA-KMCO,1.0515,1.1883
KLGA-KMDW,1.0343,1.1973
KLGA-KMEM,1.0266,1.5416
KLGA-KMIA,1.0538,1.1765
KLGA-KMKE,1.0374,1.1818
KLGA-KMSN,1.0273,1.3633
KLGA-KMSP,1.0443,1.3032
KLGA-KMSY,1.0288,1.244
KLGA-KMYR,1.0333,1.1764
KLGA-KORD,1.0773,1.2883
KLGA-KORF,1.0532,1.6336
KLGA-KPBI,1.0505,1.2368
KLGA-KPHL,1.2955,1.5434
KLGA-KPIT,1.0801,1.5173
KLGA-KPWM,1.0922,1.3518
KLGA-KRDU,1.0538,1.4213
KLGA-KRIC,1.1193,1.6932
KLGA-KROA,1.0621,1.6545
KLGA-KROC,1.065,1.3693
KLGA-KRSW,1.0945,1.2983
KLGA-KSAV,1.0302,1.5064
KLGA-KSDF,1.0846,1.4839
KLGA-KSRQ,1.0722,1.3074
KLGA-KSTL,1.0327,1.2217
KLGA-KTPA,1.0698,1.2524
KLGB-KAUS,1.0288,1.0559
KLGB-KBOS,1.0293,1.0112
KLGB-KBZN,1.0773,1.1449
KLGB-KDEN,1.0523,0.9968
KLGB-KJFK,1.0597,1.0557
KLGB-KLAS,1.148,1.3381
KLGB-KMEM,1.0336,0.958
KLGB-KOAK,1.0366,1.1597
KLGB-KPDX,1.0362,1.1472
KLGB-KRNO,1.0629,1.0999
KLGB-KSDF,1.0318,0.9965
KLGB-KSEA,1.0899,1.2207
KLGB-KSFO,1.0762,1.2196
KLGB-KSJC,1.0642,1.1965
KLGB-KSLC,1.0777,1.1292
KLGB-KSMF,1.0516,1.1357
KLIT-KDAL,1.0465,1.1609
KLIT-KDEN,1.0409,1.2011
KLIT-KDFW,1.0804,1.2613
KLIT-KIAH,1.1592,1.3866
KLIT-KLAS,1.019,1.1353
KLIT-KMEM,1.1183,1.2844
KLIT-KORD,1.1077,1.2061
KLIT-KPHX,1.0386,1.1454
KLIT-KSDF,1.1516,1.1373
KLIT-KSFB,1.0324,1.008
KLIT-KSTL,1.1667,1.1531
KLMT-KPDX,1.043,1.1686
KLNK-KDEN,1.0607,1.2651
KLNK-KORD,1.1417,1.2164
KLNS-KBWI,1.1651,1.2113
KLNS-KPIT,1.0429,1.4255
KLRD-KAFW,1.0494,1.0388
KLRD-KDFW,1.0781,1.2814
KLRD-KHRL,1.0536,1.2111
KLRD-KIAH,1.0963,1.2124
KLRD-KLAS,1.0325,1.1929
KLRD-KLIT,1.015,0.9666
KLRD-KMEM,1.1128,1.0251
KLRD-KSAT,1.0976,1.2809
KLSE-KORD,1.1458,1.2745
KLUK-KAGC,1.0404,0.9645
KLUK-KCLT,1.0751,1.0075
KLUK-KCMH,1.1025,1.0465
KLUL-KHOU,1.0712,1.0786
KLUL-KISO,1.0209,0.8626
KLUL-KMGR,1.0139,1.0564
KLUL-KTYR,1.0244,1.0262
KLWS-KGEG,1.0981,1.1826
KLYH-KCLT,1.0987,1.2882
KLZU-KDHN,1.0479,1.0644
KLZU-KGSO,1.0067,0.8988
KLZU-KPNS,1.0599,1.1386
KLZU-KROA,1.0084,0.9609
KLZU-KTRI,1.0605,1.0952
KLZU-KTUP,1.0188,1.0867
KLZU-KVQQ,1.0391,1.0002
KMAF-KCNM,1.0771,1.0976
KMAF-KDAL,1.1354,1.0796
KMAF-KDEN,1.109,1.202
KMAF-KDFW,1.1081,1.0883
KMAF-KEFD,1.0689,0.8866
KMAF-KHOU,1.0544,0.9588
KMAF-KIAH,1.0831,1.0589
KMAF-KLAS,1.0278,1.0331
KMAF-KTUL,1.0439,0.9326
KMCE-KLAX,1.0764,1.0502
KMCI-BIKF,1.0058,0.9771
KMCI-KABQ,1.0257,1.1145
KMCI-KAFW,1.0805,1.135
KMCI-KATL,1.0764,1.0373
KMCI-KAUS,1.0274,1.0366
KMCI-KBNA,1.068,0.975
KMCI-KBOS,1.038,1.0211
KMCI-KBWI,1.045,0.97
KMCI-KCLT,1.0592,1.0542
KMCI-KDAL,1.0708,1.0926
KMCI-KDCA,1.0335,0.9339
KMCI-KDEN,1.084,1.1701
KMCI-KDFW,1.138,1.2206
KMCI-KDTW,1.0627,0.9837
KMCI-KEWR,1.0556,1.1142
KMCI-KFLL,1.049,1.0339
KMCI-KHOU,1.1098,1.1283
KMCI-KIAD,1.0383,1.0096
KMCI-KIAH,1.105,1.1993
KMCI-KIND,1.0476,0.9675
KMCI-KLAS,1.0194,1.1398
KMCI-KLAX,1.016,1.1723
KMCI-KLGA,1.0501,0.9704
KMCI-KMCO,1.0459,1.007
KMCI-KMDW,1.057,1.0626
KMCI-KMEM,1.0832,1.1574
KMCI-KMKE,1.1127,0.9911
KMCI-KMSP,1.0756,1.1215
KMCI-KMSY,1.0297,0.9812
KMCI-KOAK,1.0123,1.14
KMCI-KORD,1.1202,1.1581
KMCI-KPDX,1.021,1.1206
KMCI-KPGD,1.0245,1.0752
KMCI-KPHL,1.0478,1.0802
KMCI-KPHX,1.0216,1.1751
KMCI-KRDU,1.0554,0.9363
KMCI-KRFD,1.0356,1.0426
KMCI-KRSW,1.0392,0.9872
KMCI-KSAN,1.0168,1.1188
KMCI-KSAT,1.0431,1.0689
KMCI-KSDF,1.0673,0.9941
KMCI-KSEA,1.0344,1.2121
KMCI-KSFO,1.013,1.1715
KMCI-KSLC,1.0657,1.2597
KMCI-KSTL,1.0861,1.1273
KMCI-KTPA,1.0313,0.9851
KMCI-MMUN,1.0458,1.1491
KMCN-KBWI,1.0412,1.3138
KMCO-BIKF,1.019,0.9231
KMCO-CYEG,1.025,1.1243
KMCO-CYHM,1.0264,1.0713
KMCO-CYHZ,1.0455,1.041
KMCO-CYOW,1.0353,1.1057
KMCO-CYUL,1.0482,1.1314
KMCO-CYVR,1.0306,1.153
KMCO-CYWG,1.0375,1.1644
KMCO-CYYC,1.0257,1.161
KMCO-CYYT,1.0467,1.0072
KMCO-CYYZ,1.0352,1.0914
KMCO-EDDF,1.0227,0.9935
KMCO-EGCC,1.0269,1.002
KMCO-EGKK,1.0271,1.0154
KMCO-EGPF,1.0328,1.011
KMCO-EHAM,1.0276,0.9835
KMCO-EIDW,1.0332,1.049
KMCO-ENGM,1.0175,0.9841
KMCO-KABQ,1.0228,1.28
KMCO-KACY,1.0525,1.0012
KMCO-KALB,1.0571,1.059
KMCO-KATL,1.0883,1.1995
KMCO-KAUS,1.0379,1.1801
KMCO-KAVL,1.038,1.0909
KMCO-KBDL,1.0454,1.0575
KMCO-KBHM,1.0675,1.0923
KMCO-KBMI,1.061,1.1742
KMCO-KBNA,1.0837,1.1198
KMCO-KBOS,1.0728,1.0803
KMCO-KBUF,1.0293,1.0527
KMCO-KBWI,1.0538,1.0322
KMCO-KCAE,1.1017,1.1773
KMCO-KCAK,1.0297,1.0956
KMCO-KCLE,1.0324,1.0874
KMCO-KCLT,1.0976,1.1204
KMCO-KCMH,1.0368,1.053
KMCO-KCOS,1.0457,1.2631
KMCO-KCVG,1.0443,1.1187
KMCO-KDAL,1.05,1.1881
KMCO-KDCA,1.0498,1.0723
KMCO-KDEN,1.0474,1.2186
KMCO-KDFW,1.0751,1.1997
KMCO-KDTW,1.0439,1.082
KMCO-KEWR,1.0725,1.1193
KMCO-KFLL,1.326,1.5092
KMCO-KGRR,1.0668,1.1544
KMCO-KGSO,1.0726,1.0766
KMCO-KHOU,1.0502,1.1687
KMCO-KHPN,1.0958,1.1453
KMCO-KHSV,1.0939,1.1776
KMCO-KIAD,1.0565,1.0971
KMCO-KIAH,1.0627,1.2068
KMCO-KIND,1.0774,1.1199
KMCO-KISP,1.062,1.0553
KMCO-KJAN,1.0512,1.1783
KMCO-KJFK,1.0795,1.1129
KMCO-KLAS,1.0257,1.198
KMCO-KLAX,1.0257,1.1305
KMCO-KLBE,1.0455,1.0968
KMCO-KLGA,1.0637,1.0954
KMCO-KMCI,1.0409,1.1628
KMCO-KMDT,1.0715,1.0967
KMCO-KMDW,1.0795,1.1329
KMCO-KMEM,1.0537,1.163
KMCO-KMHT,1.0608,1.0326
KMCO-KMIA,1.229,1.3753
KMCO-KMKE,1.062,1.1374
KMCO-KMSP,1.0639,1.1701
KMCO-KMSY,1.0624,1.1771
KMCO-KMYR,1.104,1.1589
KMCO-KOAK,1.0299,1.2108
KMCO-KOKC,1.0468,1.1723
KMCO-KOMA,1.0425,1.2247
KMCO-KONT,1.022,1.2359
KMCO-KORD,1.0989,1.1912
KMCO-KORF,1.0676,1.0126
KMCO-KORH,1.0415,1.0762
KMCO-KPDX,1.0303,1.2164
KMCO-KPHL,1.0796,1.0805
KMCO-KPHX,1.0367,1.1884
KMCO-KPIT,1.0362,1.0219
KMCO-KPSM,1.0612,1.08
KMCO-KPVD,1.0515,1.06
KMCO-KPWM,1.0511,1.0746
KMCO-KRDU,1.086,1.0867
KMCO-KRIC,1.0622,1.0813
KMCO-KROC,1.027,1.0084
KMCO-KSAN,1.0216,1.2203
KMCO-KSAT,1.0443,1.1855
KMCO-KSDF,1.0801,1.0657
KMCO-KSEA,1.0361,1.1931
KMCO-KSFO,1.0285,1.2118
KMCO-KSJC,1.0355,1.2028
KMCO-KSLC,1.0432,1.1495
KMCO-KSMF,1.0264,1.1929
KMCO-KSTL,1.0554,1.1396
KMCO-KSWF,1.1048,1.1532
KMCO-KSYR,1.0502,1.1026
KMCO-KTLH,1.0081,1.2621
KMCO-KTPA,1.241,1.517
KMCO-KTTN,1.057,1.1099
KMCO-LFPG,1.0237,1.0506
KMCO-MDSD,1.0431,1.0529
KMCO-MGGT,1.0602,1.2242
KMCO-MHLM,1.0755,1.2277
KMCO-MKJP,1.0373,1.0755
KMCO-MKJS,1.0336,1.1024
KMCO-MMGL,1.0831,1.2739
KMCO-MMMX,1.0671,1.2117
KMCO-MMUN,1.1394,1.2613
KMCO-MPTO,1.0367,1.1201
KMCO-MROC,1.0441,1.1681
KMCO-MSLP,1.0684,1.1953
KMCO-MTPP,1.0234,1.1245
KMCO-MUHA,1.0627,1.2532
KMCO-MYNN,1.0395,1.2248
KMCO-OMDB,1.0266,1.0031
KMCO-SBCF,1.0219,1.0803
KMCO-SBGL,1.0203,1.0213
KMCO-SBGR,1.0384,1.0457
KMCO-SBKP,1.0371,1.0862
KMCO-SBRF,1.0108,1.04
KMCO-SKBO,1.0264,1.1466
KMCO-SKCG,1.0295,1.1452
KMCO-SKRG,1.0151,1.1516
KMCO-SPJC,1.0126,1.1173
KMCO-TIST,1.0141,1.1026
KMCO-TJBQ,1.0084,1.026
KMCO-TJPS,1.0089,1.0676
KMCO-TJSJ,1.0157,1.0507
KMCO-TTPP,1.0234,1.0542
KMCW-KMSP,1.1244,1.2836
KMCW-KORD,1.0983,1.2531
KMDQ-KPDK,1.0205,1.1375
KMDT-KABE,1.0821,1.0893
KMDT-KAVP,1.0222,1.2117
KMDT-KBNA,1.0313,1.1568
KMDT-KBOS,1.2314,1.4014
KMDT-KCLT,1.0648,1.254
KMDT-KDEN,1.0211,1.2502
KMDT-KEWR,1.138,1.3047
KMDT-KIND,1.056,1.1774
KMDT-KIPT,1.0908,1.2235
KMDT-KMCO,1.0552,1.1372
KMDT-KMEM,1.0277,1.1315
KMDT-KORD,1.0677,1.2292
KMDT-KPGD,1.0397,1.1869
KMDT-KPHL,1.2335,1.2635
KMDT-KPIE,1.0511,1.2216
KMDT-KRFD,1.038,1.1721
KMDT-KSDF,1.1232,1.2592
KMDT-KSFB,1.043,1.1698
KMDT-KSRQ,1.0374,1.1875
KMDW-KABQ,1.0249,1.1664
KMDW-KALB,1.0209,0.9143
KMDW-KATL,1.0803,1.0384
KMDW-KAUS,1.0258,1.1192
KMDW-KBDL,1.0253,0.9063
KMDW-KBHM,1.0386,1.0353
KMDW-KBNA,1.0504,1.0929
KMDW-KBOS,1.0367,0.9674
KMDW-KBUF,1.0427,0.9562
KMDW-KBUR,1.0329,1.1416
KMDW-KBWI,1.0607,0.9762
KMDW-KCHS,1.034,0.9631
KMDW-KCLE,1.0893,1.0756
KMDW-KCLT,1.0689,0.9619
KMDW-KCMH,1.1035,1.0979
KMDW-KCMI,1.0576,1.1274
KMDW-KCVG,1.0878,1.1765
KMDW-KDAL,1.0348,1.131
KMDW-KDCA,1.0521,0.9462
KMDW-KDEN,1.0342,1.1804
KMDW-KDTW,1.0917,1.186
KMDW-KEWR,1.0455,0.9778
KMDW-KFLL,1.058,1.0734
KMDW-KGRR,1.1151,1.3106
KMDW-KHOU,1.064,1.1532
KMDW-KIND,1.0948,1.2771
KMDW-KJAX,1.0335,0.994
KMDW-KLAS,1.018,1.1686
KMDW-KLAX,1.018,1.1505
KMDW-KLGA,1.0537,0.9639
KMDW-KMCI,1.0478,1.1714
KMDW-KMCO,1.0374,1.0185
KMDW-KMEM,1.0619,1.0897
KMDW-KMHT,1.0176,0.9039
KMDW-KMSP,1.1411,1.3166
KMDW-KMSY,1.0214,1.0465
KMDW-KOAK,1.0163,1.1612
KMDW-KOKC,1.0448,1.1338
KMDW-KOMA,1.0314,1.1632
KMDW-KONT,1.0172,1.1486
KMDW-KORF,1.0979,0.9691
KMDW-KPDX,1.0198,1.1666
KMDW-KPHL,1.0452,0.9624
KMDW-KPHX,1.0207,1.181
KMDW-KPIT,1.0556,1.0001
KMDW-KPVD,1.0338,0.9309
KMDW-KRDU,1.0801,0.9433
KMDW-KRNO,1.0323,1.1558
KMDW-KRSW,1.0355,1.0283
KMDW-KSAN,1.019,1.153
KMDW-KSAT,1.0343,1.1412
KMDW-KSDF,1.0943,1.2176
KMDW-KSEA,1.0328,1.1792
KMDW-KSFO,1.0175,1.1564
KMDW-KSJC,1.0238,1.1583
KMDW-KSLC,1.0518,1.1976
KMDW-KSMF,1.0224,1.1619
KMDW-KSTL,1.1165,1.2856
KMDW-KTEB,1.0246,0.9755
KMDW-KTPA,1.0377,1.0454
KMDW-KTUS,1.0314,1.1627
KMDW-KYIP,1.0479,1.0605
KMDW-MDPC,1.0374,0.9861
KMDW-MKJS,1.0181,1.0127
KMDW-MMDO,1.0291,1.2531
KMDW-MMGL,1.024,1.2135
KMDW-MMLO,1.0241,1.1966
KMDW-MMMM,1.0121,1.186
KMDW-MMSD,1.021,1.1628
KMDW-MMUN,1.0589,1.0892
KMDW-MMZC,1.0185,1.2298
KMDW-TJSJ,1.0576,1.0114
KMEM-CYEG,1.0244,1.1674
KMEM-CYMX,1.0254,1.0604
KMEM-CYVR,1.0202,1.1513
KMEM-CYWG,1.0324,1.1562
KMEM-CYYC,1.021,1.1476
KMEM-CYYZ,1.0456,0.9922
KMEM-EGSS,1.0246,0.9427
KMEM-KABE,1.02,0.9098
KMEM-KABQ,1.041,1.1778
KMEM-KALB,1.0167,0.8973
KMEM-KATL,1.0732,1.118
KMEM-KAUS,1.054,1.1783
KMEM-KBDL,1.0614,0.9748
KMEM-KBFM,1.0208,1.0492
KMEM-KBHM,1.0346,1.1285
KMEM-KBIL,1.0295,1.1318
KMEM-KBMI,1.02,1.0604
KMEM-KBNA,1.052,1.1816
KMEM-KBOI,1.0237,1.103
KMEM-KBOS,1.0626,0.9933
KMEM-KBUF,1.0255,0.9404
KMEM-KBUR,1.0296,1.1545
KMEM-KBWI,1.0561,0.9858
KMEM-KCAE,1.0196,0.9592
KMEM-KCHA,1.0368,1.1056
KMEM-KCHS,1.0289,0.9799
KMEM-KCID,1.0194,1.0488
KMEM-KCLE,1.0413,0.9717
KMEM-KCLT,1.0765,1.0892
KMEM-KCOS,1.0283,1.1083
KMEM-KCPR,1.028,1.0962
KMEM-KCVG,1.0544,1.0171
KMEM-KDAL,1.0374,1.1172
KMEM-KDAY,1.0376,0.9761
KMEM-KDCA,1.0365,1.0261
KMEM-KDEN,1.0637,1.1688
KMEM-KDFW,1.0699,1.2223
KMEM-KDHN,1.0042,1.2233
KMEM-KDSM,1.0494,1.1032
KMEM-KDTW,1.0445,1.0219
KMEM-KELD,1.0075,1.2989
KMEM-KELP,1.0126,1.1259
KMEM-KEVV,1.0155,1.2235
KMEM-KEWR,1.075,0.9646
KMEM-KFAR,1.0202,1.084
KMEM-KFLL,1.0497,1.0493
KMEM-KFNT,1.0252,0.9784
KMEM-KFSD,1.0256,1.0907
KMEM-KFWA,1.0296,1.0022
KMEM-KGEG,1.0179,1.1229
KMEM-KGFK,1.0214,1.211
KMEM-KGJT,1.0258,1.1011
KMEM-KGRR,1.0269,1.0175
KMEM-KGSO,1.0313,1.0525
KMEM-KGSP,1.0465,0.989
KMEM-KGTF,1.0141,1.0863
KMEM-KHOU,1.1085,1.1598
KMEM-KHRL,1.0193,1.1975
KMEM-KHSV,1.039,1.2092
KMEM-KHTS,1.0128,0.9761
KMEM-KIAD,1.0374,1.0032
KMEM-KIAH,1.1104,1.2387
KMEM-KICT,1.0599,1.1683
KMEM-KIND,1.0684,1.1143
KMEM-KJAX,1.0281,1.0856
KMEM-KJFK,1.1163,1.0349
KMEM-KLAS,1.0217,1.1539
KMEM-KLAX,1.0197,1.1044
KMEM-KLBB,1.0254,1.162
KMEM-KLCK,1.0425,0.9957
KMEM-KLFT,1.0158,1.1184
KMEM-KLGA,1.0651,1.2766
KMEM-KLRD,1.0216,1.1201
KMEM-KMCI,1.0628,1.2189
KMEM-KMCO,1.0474,1.0042
KMEM-KMDT,1.0183,0.8977
KMEM-KMDW,1.0747,1.0379
KMEM-KMHT,1.0304,0.9379
KMEM-KMIA,1.0552,1.0323
KMEM-KMKE,1.0525,1.0999
KMEM-KMLU,1.0056,1.2739
KMEM-KMSN,1.0476,1.0745
KMEM-KMSP,1.0538,1.1092
KMEM-KMSY,1.0274,1.1123
KMEM-KOAK,1.0129,1.1017
KMEM-KOKC,1.0683,1.2192
KMEM-KOMA,1.0506,1.1318
KMEM-KONT,1.0172,1.0755
KMEM-KORD,1.1466,1.195
KMEM-KORF,1.0365,0.9277
KMEM-KPBI,1.0475,0.9983
KMEM-KPDX,1.0162,1.0506
KMEM-KPHL,1.0637,1.0023
KMEM-KPHX,1.061,1.1683
KMEM-KPIA,1.0839,1.2106
KMEM-KPIE,1.0421,1.0643
KMEM-KPIT,1.0312,0.9765
KMEM-KPVD,1.0223,0.9314
KMEM-KPWM,1.012,0.9106
KMEM-KRDU,1.0954,1.0462
KMEM-KRFD,1.0332,1.0914
KMEM-KRIC,1.0217,0.9052
KMEM-KRNO,1.0227,1.1297
KMEM-KROA,1.0165,0.9453
KMEM-KROC,1.0285,0.9637
KMEM-KRST,1.0215,1.0498
KMEM-KRSW,1.0244,0.9831
KMEM-KSAN,1.0134,1.1763
KMEM-KSAT,1.0703,1.1979
KMEM-KSAV,1.0099,0.9602
KMEM-KSDF,1.1211,1.1335
KMEM-KSEA,1.03,1.0653
KMEM-KSFB,1.0459,1.0303
KMEM-KSFO,1.0104,1.1386
KMEM-KSGF,1.0241,1.1925
KMEM-KSHV,1.0384,1.1814
KMEM-KSJC,1.0223,1.1088
KMEM-KSLC,1.0492,1.102
KMEM-KSMF,1.0165,1.0992
KMEM-KSTL,1.0774,1.2161
KMEM-KSWF,1.0279,0.992
KMEM-KSYR,1.0147,0.9043
KMEM-KTLH,1.0154,1.0128
KMEM-KTPA,1.044,1.0514
KMEM-KTUL,1.0431,1.2616
KMEM-KTUS,1.0239,1.1697
KMEM-KTYS,1.0494,1.0084
KMEM-LFPG,1.0193,0.9228
KMEM-MMGL,1.0216,1.1505
KMEM-MMMY,1.0383,1.2223
KMEM-MMQT,1.0487,1.1177
KMEM-MMTJ,1.019,1.1001
KMEM-MMTO,1.0459,1.1382
KMEM-PANC,1.0207,1.0608
KMEM-PHNL,1.0176,1.094
KMEM-SBKP,1.025,1.0753
KMEM-SKBO,1.034,0.9584
KMEM-TJBQ,1.0083,0.9722
KMEM-TJSJ,1.0121,0.9129
KMFE-KCRP,1.0874,0.9962
KMFE-KDFW,1.1004,1.2452
KMFE-KIAH,1.1087,1.2254
KMFE-KLAS,1.0305,1.226
KMFE-KLIT,1.0795,1.0932
KMFE-KSDF,1.036,1.0036
KMFE-KSFB,1.087,1.1444
KMFR-KDEN,1.0347,1.0048
KMFR-KLAS,1.0559,0.9895
KMFR-KLAX,1.0522,1.0471
KMFR-KPDX,1.0434,1.1603
KMFR-KSFO,1.1241,1.1205
KMGM-KBHM,1.0332,1.1354
KMGM-KCLT,1.0479,1.1014
KMGM-KDFW,1.071,1.467
KMGR-KLUL,1.0129,1.0409
KMGW-KBWI,1.1416,1.2836
KMGW-KPIT,1.2048,1.2662
KMHK-KDFW,1.0817,1.4757
KMHK-KORD,1.0726,1.1128
KMHR-KACV,1.0135,1.1355
KMHR-KCIC,1.2303,1.0225
KMHR-KMOD,1.3295,1.4637
KMHR-KONT,1.1075,1.1523
