origin_destination_airport,ratio_distance_inefficiency,ratio_ccd_fuel_inefficiency
CYKF-CYYC,1.0254,1.1415
CYLW-CYEG,1.0717,1.0529
CYLW-CYVR,1.0872,1.2299
CYLW-CYYC,1.0789,1.111
CYLW-CYYZ,1.0283,0.9864
CYLW-MMPR,1.023,0.9902
CYLW-MMUN,1.0241,0.9585
CYMM-CYYC,1.0482,0.969
CYMM-CYYZ,1.0137,1.0403
CYMX-CYHM,1.0776,1.2918
CYMX-CYHZ,1.0441,1.1195
CYMX-CYOW,1.165,1.6144
CYMX-CYQM,1.0427,1.025
CYMX-CYVO,1.0436,1.3195
CYMX-CYWG,1.0193,1.1466
CYMX-CYYZ,1.0836,1.3507
CYMX-KCLE,1.0676,1.4062
CYMX-KCVG,1.0764,1.1726
CYMX-KIND,1.0596,1.1807
CYMX-KMEM,1.0477,1.2417
CYMX-KSDF,1.07,1.2031
CYOW-CYEG,1.0165,1.2192
CYOW-CYFB,1.0076,1.0588
CYOW-CYHM,1.0894,1.3234
CYOW-CYHZ,1.025,0.95
CYOW-CYMX,1.292,1.5583
CYOW-CYUL,1.3195,1.6097
CYOW-CYVR,1.0213,1.1876
CYOW-CYWG,1.0183,1.1522
CYOW-CYYC,1.0209,1.1938
CYOW-CYYZ,1.0985,1.3996
CYOW-EDDF,1.0253,0.9932
CYOW-EGLL,1.0303,0.982
CYOW-KEWR,1.1638,1.3985
CYOW-KFLL,1.025,1.2009
CYOW-KMCO,1.0302,1.1646
CYOW-KPHL,1.0753,1.2488
CYOW-MDPC,1.0443,1.0823
CYOW-MKJS,1.0355,1.108
CYOW-MMUN,1.0535,1.2156
CYOW-MUSC,1.0321,1.1206
CYOW-MUVR,1.0294,1.1296
CYQB-CYBG,1.1024,1.3638
CYQB-CYUL,1.0984,1.3866
CYQB-CYYZ,1.0499,1.2381
CYQB-KEWR,1.0805,1.262
CYQB-KFLL,1.0361,1.1515
CYQB-KORD,1.0459,1.2636
CYQB-KPHL,1.0944,1.2741
CYQB-LFPG,1.0357,1.0408
CYQB-MDPC,1.0467,1.0877
CYQB-MMUN,1.063,1.2033
CYQB-MUCC,1.027,1.1565
CYQB-MUSC,1.0204,1.1244
CYQB-MUVR,1.0217,1.13
CYQG-CYYC,1.0292,1.1341
CYQM-CYHZ,1.1053,1.2474
CYQM-CYMX,1.0326,1.2098
CYQM-CYYT,1.0365,1.0572
CYQM-CYYZ,1.0353,1.2426
CYQQ-CYEG,1.0156,0.9819
CYQQ-CYYC,1.0395,1.0048
CYQR-CYVR,1.0268,1.0492
CYQR-CYWG,1.0523,1.026
CYQR-CYXE,1.0694,1.177
CYQR-CYYZ,1.0292,1.005
CYQR-MMPR,1.0163,1.0578
CYQT-CYWG,1.0233,1.2723
CYQT-CYYZ,1.0443,1.0262
CYQY-CYYZ,1.034,1.1752
CYSB-CYYZ,1.1043,1.3363
CYUL-BIKF,1.0181,1.0118
CYUL-CYEG,1.0162,1.2375
CYUL-CYGL,1.0173,1.2132
CYUL-CYHZ,1.0363,1.0834
CYUL-CYOW,1.1393,1.4721
CYUL-CYPX,1.0096,1.1548
CYUL-CYQB,1.1574,1.3983
CYUL-CYUY,1.058,1.3244
CYUL-CYVO,1.0777,1.3706
CYUL-CYVP,1.0177,1.1368
CYUL-CYVR,1.017,1.1915
CYUL-CYWG,1.0206,1.2907
CYUL-CYYC,1.0166,1.2041
CYUL-CYYG,1.0317,1.0344
CYUL-CYYJ,1.027,1.2761
CYUL-CYYT,1.022,1.0586
CYUL-CYYZ,1.0663,1.3259
CYUL-DAAG,1.0372,1.0463
CYUL-DTTA,1.0356,1.0274
CYUL-EBBR,1.0288,1.0187
CYUL-EDDF,1.0267,1.0006
CYUL-EDDM,1.0191,1.0259
CYUL-EGKK,1.036,1.0773
CYUL-EGLL,1.0297,1.0153
CYUL-EHAM,1.0164,1.0135
CYUL-EIDW,1.039,1.0603
CYUL-GMMN,1.0174,0.9733
CYUL-KDEN,1.0188,1.2383
CYUL-KDFW,1.0465,1.2889
CYUL-KDTW,1.0619,1.2868
CYUL-KEWR,1.099,1.3158
CYUL-KFLL,1.0482,1.1366
CYUL-KJFK,1.217,1.7967
CYUL-KLAS,1.0187,1.2358
CYUL-KLAX,1.021,1.2205
